ProductGroupCode,SizeGroupCode,Velocity,SlotTier,SKU_Count,TotalRequiredSlots
AAP,L,B,AAPLB,1,1.1
AAP,L,C,AAPLC,21,8.8
AAP,M,A,AAPMA,2,2.2
AAP,M,B,AAPMB,2,2.2
AAP,M,C,AAPMC,5,2.2
AAP,S,B,AAPSB,3,3.3000000000000003
AAP,S,C,AAPSC,3,2.2
AAP,X,C,AAPXC,10,4.4
ACC,I,A,ACCIA,5,5.5
ACC,I,AA,ACCIAA,2,2.2
ACC,I,C,ACCIC,4,0.0
ACC,L,A,ACCLA,7,7.700000000000001
ACC,L,B,ACCLB,5,5.5
ACC,L,C,ACCLC,11,1.1
ACC,M,A,ACCMA,8,8.8
ACC,M,B,ACCMB,4,4.4
ACC,M,C,ACCMC,12,1.1
ACC,O,B,ACCOB,1,1.1
ACC,O,C,ACCOC,7,0.0
ACC,S,A,ACCSA,9,9.9
ACC,S,AA,ACCSAA,2,2.2
ACC,S,B,ACCSB,7,7.700000000000001
ACC,S,C,ACCSC,28,3.3000000000000003
ACC,X,A,ACCXA,13,14.3
ACC,X,AA,ACCXAA,5,5.5
ACC,X,B,ACCXB,2,2.2
ACC,X,C,ACCXC,22,0.0
ASL,L,A,ASLLA,29,31.900000000000002
ASL,L,AA,ASLLAA,9,9.9
ASL,L,B,ASLLB,12,13.200000000000001
ASL,L,C,ASLLC,468,9.9
ASL,M,A,ASLMA,19,20.900000000000002
ASL,M,AA,ASLMAA,19,20.900000000000002
ASL,M,B,ASLMB,7,7.700000000000001
ASL,M,C,ASLMC,136,5.5
ASL,S,A,ASLSA,19,20.900000000000002
ASL,S,AA,ASLSAA,8,8.8
ASL,S,B,ASLSB,3,3.3000000000000003
ASL,S,C,ASLSC,133,4.4
ASL,X,A,ASLXA,5,5.5
ASL,X,B,ASLXB,10,11.0
ASL,X,C,ASLXC,268,1.1
BAP,I,A,BAPIA,365,401.50000000000006
BAP,I,AA,BAPIAA,129,141.9
BAP,I,B,BAPIB,224,246.40000000000003
BAP,I,C,BAPIC,935,155.10000000000002
BAP,S,A,BAPSA,4,4.4
BAP,S,B,BAPSB,3,3.3000000000000003
BAP,S,C,BAPSC,17,3.3000000000000003
BAP,X,A,BAPXA,292,321.20000000000005
BAP,X,AA,BAPXAA,54,59.400000000000006
BAP,X,B,BAPXB,130,143.0
BAP,X,C,BAPXC,533,95.7
BOY,L,A,BOYLA,99,108.9
BOY,L,AA,BOYLAA,61,67.10000000000001
BOY,L,B,BOYLB,148,162.8
BOY,L,C,BOYLC,149,18.700000000000003
BOY,M,A,BOYMA,143,157.3
BOY,M,AA,BOYMAA,122,134.20000000000002
BOY,M,B,BOYMB,103,113.30000000000001
BOY,M,C,BOYMC,132,26.400000000000002
BOY,S,A,BOYSA,124,136.4
BOY,S,AA,BOYSAA,102,112.2
BOY,S,B,BOYSB,150,165.0
BOY,S,C,BOYSC,144,29.700000000000003
BOY,X,A,BOYXA,92,101.2
BOY,X,AA,BOYXAA,36,39.6
BOY,X,B,BOYXB,144,158.4
BOY,X,C,BOYXC,255,26.400000000000002
BSL,I,A,BSLIA,98,107.80000000000001
BSL,I,AA,BSLIAA,172,189.20000000000002
BSL,I,B,BSLIB,136,149.60000000000002
BSL,I,C,BSLIC,180,0.0
BSL,L,A,BSLLA,5,5.5
BSL,L,B,BSLLB,1,1.1
BSL,M,A,BSLMA,5,5.5
BSL,M,AA,BSLMAA,1,1.1
BSL,S,A,BSLSA,5,5.5
